2024-03-12 16:21:53.285 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:53.313 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:53.341 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:53.379 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:53.406 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:53.407 parsl.monitoring.resource_monitor:249 420077 MainThread [DEBUG]  sleeping
2024-03-12 16:21:53.407 parsl.monitoring.resource_monitor:213 420077 MainThread [DEBUG]  start of monitoring loop
2024-03-12 16:21:54.005 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.046 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.092 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.125 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.159 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.192 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.226 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.259 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.304 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.337 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.367 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.396 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.426 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.456 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.491 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.534 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.563 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.599 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:21:54.630 parsl.monitoring.resource_monitor:236 420077 MainThread [DEBUG]  Sending intermediate resource message
