2024-03-12 16:21:45.775 interchange:133 HTEX-Interchange(419999) MainThread __init__ [DEBUG]  Initializing Interchange process
2024-03-12 16:21:45.775 interchange:139 HTEX-Interchange(419999) MainThread __init__ [INFO]  Attempting connection to client at 127.0.0.1 on ports: 55600,55100,55918
2024-03-12 16:21:45.777 interchange:151 HTEX-Interchange(419999) MainThread __init__ [INFO]  Connected to client
2024-03-12 16:21:45.778 interchange:182 HTEX-Interchange(419999) MainThread __init__ [INFO]  Bound to ports 54129,54009 for incoming worker connections
2024-03-12 16:21:45.778 interchange:198 HTEX-Interchange(419999) MainThread __init__ [INFO]  Platform info: {'parsl_v': '1.3.0-dev', 'python_v': '3.10.13', 'os': 'Linux', 'hostname': 'resilient-compute', 'dir': '/home/cc/resilient_compute/performance_experiments'}
2024-03-12 16:21:45.778 interchange:353 HTEX-Interchange(419999) MainThread start [INFO]  Incoming ports bound
2024-03-12 16:21:45.782 interchange:248 HTEX-Interchange(419999) MainThread _create_monitoring_channel [INFO]  Connecting to monitoring
2024-03-12 16:21:45.782 interchange:253 HTEX-Interchange(419999) MainThread _create_monitoring_channel [INFO]  Monitoring enabled and connected to hub
2024-03-12 16:21:45.783 interchange:229 HTEX-Interchange(419999) Interchange-Task-Puller task_puller [INFO]  Starting
2024-03-12 16:21:45.783 interchange:233 HTEX-Interchange(419999) Interchange-Task-Puller task_puller [DEBUG]  launching recv_pyobj
2024-03-12 16:21:45.783 interchange:272 HTEX-Interchange(419999) Interchange-Command _command_server [DEBUG]  Command Server Starting
2024-03-12 16:21:45.784 interchange:248 HTEX-Interchange(419999) Interchange-Command _create_monitoring_channel [INFO]  Connecting to monitoring
2024-03-12 16:21:45.784 interchange:253 HTEX-Interchange(419999) Interchange-Command _create_monitoring_channel [INFO]  Monitoring enabled and connected to hub
2024-03-12 16:21:45.800 interchange:241 HTEX-Interchange(419999) Interchange-Task-Puller task_puller [DEBUG]  putting message onto pending_task_queue
2024-03-12 16:21:45.801 interchange:244 HTEX-Interchange(419999) Interchange-Task-Puller task_puller [DEBUG]  Fetched 1 tasks so far
2024-03-12 16:21:45.801 interchange:233 HTEX-Interchange(419999) Interchange-Task-Puller task_puller [DEBUG]  launching recv_pyobj
2024-03-12 16:21:45.884 interchange:466 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:21:45.884 interchange:503 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:21:45.984 interchange:466 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:21:45.985 interchange:503 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:21:46.085 interchange:466 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:21:46.085 interchange:503 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:21:46.186 interchange:466 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:21:46.186 interchange:503 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:21:46.286 interchange:466 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:21:46.286 interchange:503 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:21:46.387 interchange:466 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:21:46.387 interchange:503 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:21:46.487 interchange:466 HTEX-Interchange(419999) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
